"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","749","Валидация: Корректный месяц (09)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","4933","Успешная оплата (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Кириллица в поле 'Владелец' должна отклоняться — сейчас пропускается.","5895","Поле 'Владелец' пропускает кириллицу","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","11088","Валидация: Пустое поле номера карты (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5969","Отклоненная оплата (debit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
"","11099","Валидация: Пустое поле номера карты (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет что приложение корректно отклоняет CVC длиной 2 цифры с сообщением 'Неверный формат'. Форма не должна отправляться.","11038","Валидация: CVC из 2 цифр отклоняется (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","753","Валидация: Корректный владелец (латиница)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
" Ожидаем ошибку 'Истёк срок действия карты' (или похожую) ","11066","Валидация: Просроченный год карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","758","Валидация: Корректный CVC","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","5854","Валидация: Корректный формат номера карты 16-значный","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","283","Отображение цены, миль и процентов кешбэка","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","855","Валидация: Несуществующий месяц (13)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет happy path для debit и credit: заполнение формы, отправка, успешное уведомление на UI и статус APPROVED в соответствующей таблице БД.","6998","Успешная оплата (credit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"","896","Валидация: Слишком короткий номер карты","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Нажатие на 'Купить в кредит' открывает страницу кредита.","341","Переключение на вкладку 'Купить в кредит'","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Проверяет что приложение корректно отклоняет CVC длиной 2 цифры с сообщением 'Неверный формат'. Форма не должна отправляться.","11040","Валидация: CVC из 2 цифр отклоняется (debit)","tests","2026-09-17","passed","2026-09-17","TestPayment","Тесты оплаты","",""
"Карта 4444 4444 4444 4442 должна получать отказ банка, но UI показывает 'Успешно / Операция одобрена Банком'. Оформлено как xfail","5950","Отклоненная оплата (credit)","tests","2026-09-17","skipped","2026-09-17","TestPayment","Тесты оплаты","",""
